state,strata,pop_at_risk,par_se,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
texas,male,315795.8935202939,12816.846458632237,8.28196927028711,0.43850714056189105,39.774193548387096,0.118,0.013,0.0095,0.004
united states,male,2048488.931776231,23494.859923112374,NA,NA,NA,0.118,0.013,0.0095,0.004
utah,male,32826.83518465199,1099.402000989665,1.7515251966871814,0.46796759517952496,28.363636363636363,0.118,0.013,0.0095,0.004
vermont,male,6293.564912552318,271.711294593756,1.554207848288739,1.6832133021522477,23.5,0.118,0.013,0.0095,0.004
washington,male,57713.45507627876,2575.862062639113,-1.4450958974156776,0.9305305755491331,40.8,0.118,0.013,0.0095,0.004
wisconsin,male,58802.206019600475,3288.500696893908,3.243078926509611,0.5635039627903868,35.5,0.118,0.013,0.0095,0.004
west virginia,male,17454.251195385077,833.4127578367171,NA,NA,NA,0.118,0.013,0.0095,0.004
arizona,male,78656.77284187985,5250.296688395756,NA,NA,NA,0.118,0.013,0.0095,0.004
wyoming,male,5168.439914972283,360.2704150901366,-1.2179716558722333,1.3851694294986299,21,0.118,0.013,0.0095,0.004
iowa,male,22209.176036063567,1444.6942526365096,3.283443042393354,0.4158930464722037,44.07142857142857,0.118,0.013,0.0095,0.004
massachusetts,male,79923.09002976767,5809.676628437662,7.4387867604117215,1.0339974576719628,26.375,0.118,0.013,0.0095,0.004
north dakota,male,4569.298182879866,456.0603391095225,-0.718660945854715,0.7665008905414159,38,0.118,0.013,0.0095,0.004
delaware,male,16529,2224.4897959183672,NA,NA,NA,0.118,0.013,0.0095,0.004
idaho,male,13696.785059105927,1023.800897404246,2.8246969056976874,1.3134345461504757,18.5,0.118,0.013,0.0095,0.004
virginia,male,91618.9104556492,5983.62264043561,8.115727586591744,0.9121610391909646,19.571428571428573,0.118,0.013,0.0095,0.004
minnesota,male,47944.164850724585,5720.868584801425,-0.7041228825706584,0.4785995141040938,45.8,0.118,0.013,0.0095,0.004
south dakota,male,5678.000000000001,820.9183673469388,-0.2977262750285157,1.0226923324606185,27.333333333333332,0.118,0.013,0.0095,0.004
alabama,white,57454.95529606442,4084.626052100083,6.168036540793379,0.855377499605896,32.42857142857143,0.094,0.01,0.0095,0.004
california,white,211383.6038127451,9484.801122033847,2.494174546876336,0.4425310416487048,24.78787878787879,0.094,0.01,0.0095,0.004
connecticut,white,47864.863711039514,1895.5722517681502,7.530114222888063,1.5850624242069442,18.4,0.094,0.01,0.0095,0.004
maryland,white,1004.9378102002739,109.97667068936614,4.3197604984360645,1.8288996169773302,17.666666666666668,0.094,0.01,0.0095,0.004
georgia,white,99366.36454689453,4382.478533328889,8.394070379725413,0.643853992356035,34.36363636363637,0.094,0.01,0.0095,0.004
illinois,white,130169.13290926926,6998.244338836779,3.077782143682389,0.6335156637882573,42.111111111111114,0.094,0.01,0.0095,0.004
indiana,white,91113.40548549971,3380.2883142043393,6.402586608509475,1.4603050061487217,17.8,0.094,0.01,0.0095,0.004
kansas,white,40829.740660719435,1096.9523861388388,-0.9269572611440776,1.2420225405971406,46,0.094,0.01,0.0095,0.004
